,loss,mse,mae,val_loss,val_mse,val_mae
0,30.84356117248535,30.84356117248535,4.418848514556885,21.120777130126953,21.120777130126953,3.0113630294799805
1,29.477901458740234,29.477901458740234,4.3061957359313965,20.20827865600586,20.20827865600586,2.921330451965332
2,28.197816848754883,28.197816848754883,4.1949896812438965,19.31460189819336,19.31460189819336,2.830994129180908
3,26.97745704650879,26.97745704650879,4.087557792663574,18.440147399902344,18.440147399902344,2.7403159141540527
4,25.836183547973633,25.836183547973633,3.9821159839630127,17.586681365966797,17.586681365966797,2.655778408050537
5,24.640907287597656,24.640907287597656,3.8742895126342773,16.768199920654297,16.768199920654297,2.5796756744384766
6,23.466676712036133,23.466676712036133,3.7658870220184326,15.980722427368164,15.980722427368164,2.5055816173553467
7,22.471879959106445,22.471879959106445,3.665212631225586,15.20910358428955,15.20910358428955,2.4309496879577637
8,21.40638542175293,21.40638542175293,3.5605111122131348,14.474319458007812,14.474319458007812,2.3578193187713623
9,20.36172103881836,20.36172103881836,3.4603936672210693,13.772409439086914,13.772409439086914,2.2859082221984863
10,19.37763214111328,19.37763214111328,3.3643321990966797,13.098803520202637,13.098803520202637,2.212615728378296
11,18.394020080566406,18.394020080566406,3.268043041229248,12.457429885864258,12.457429885864258,2.1414380073547363
12,17.513648986816406,17.513648986816406,3.178117036819458,11.836980819702148,11.836980819702148,2.085343837738037
13,16.69965362548828,16.69965362548828,3.0899007320404053,11.231940269470215,11.231940269470215,2.037172794342041
14,15.844185829162598,15.844185829162598,2.997410535812378,10.658205032348633,10.658205032348633,1.9915149211883545
15,15.037506103515625,15.037506103515625,2.9119198322296143,10.112532615661621,10.112532615661621,1.9467308521270752
16,14.320331573486328,14.320331573486328,2.8301353454589844,9.585811614990234,9.585811614990234,1.9020963907241821
17,13.543594360351562,13.543594360351562,2.746304988861084,9.091784477233887,9.091784477233887,1.8588736057281494
18,12.837630271911621,12.837630271911621,2.6690218448638916,8.621164321899414,8.621164321899414,1.816343903541565
19,12.226743698120117,12.226743698120117,2.596182107925415,8.165200233459473,8.165200233459473,1.7737334966659546
20,11.562328338623047,11.562328338623047,2.5230815410614014,7.739631652832031,7.739631652832031,1.7326059341430664
21,10.926629066467285,10.926629066467285,2.4497592449188232,7.340610504150391,7.340610504150391,1.6927242279052734
22,10.363938331604004,10.363938331604004,2.3841748237609863,6.957881927490234,6.957881927490234,1.6531379222869873
23,9.879066467285156,9.879066467285156,2.3232665061950684,6.585169315338135,6.585169315338135,1.613175392150879
24,9.314436912536621,9.314436912536621,2.254561185836792,6.241097927093506,6.241097927093506,1.5749342441558838
25,8.815277099609375,8.815277099609375,2.1935126781463623,5.915599822998047,5.915599822998047,1.5374276638031006
26,8.336695671081543,8.336695671081543,2.1373813152313232,5.608933448791504,5.608933448791504,1.5007750988006592
27,7.907184600830078,7.907184600830078,2.0820322036743164,5.316844940185547,5.316844940185547,1.4645296335220337
