,loss,mse,mae,val_loss,val_mse,val_mae
0,13.260231018066406,13.260231018066406,2.7302281856536865,18.50560188293457,18.50560188293457,3.537642478942871
1,12.898529052734375,12.898529052734375,2.6808385848999023,17.971099853515625,17.971099853515625,3.477146863937378
2,12.496084213256836,12.496084213256836,2.6281909942626953,17.445049285888672,17.445049285888672,3.416673183441162
3,12.12526798248291,12.12526798248291,2.5794427394866943,16.925884246826172,16.925884246826172,3.356027603149414
4,11.732992172241211,11.732992172241211,2.528780698776245,16.421289443969727,16.421289443969727,3.2961275577545166
5,11.387272834777832,11.387272834777832,2.482168197631836,15.92161750793457,15.92161750793457,3.235835552215576
6,11.022510528564453,11.022510528564453,2.435117244720459,15.437101364135742,15.437101364135742,3.176382541656494
7,10.671957015991211,10.671957015991211,2.390648126602173,14.96445369720459,14.96445369720459,3.1219165325164795
8,10.316227912902832,10.316227912902832,2.3453729152679443,14.50504207611084,14.50504207611084,3.069202423095703
9,9.981836318969727,9.981836318969727,2.3030896186828613,14.052155494689941,14.052155494689941,3.016345500946045
10,9.665992736816406,9.665992736816406,2.259279727935791,13.609116554260254,13.609116554260254,2.9637372493743896
11,9.344279289245605,9.344279289245605,2.218423366546631,13.180315971374512,13.180315971374512,2.911919116973877
12,9.044639587402344,9.044639587402344,2.178370952606201,12.761669158935547,12.761669158935547,2.86043119430542
13,8.728431701660156,8.728431701660156,2.1371328830718994,12.361320495605469,12.361320495605469,2.810317277908325
14,8.458681106567383,8.458681106567383,2.098567485809326,11.968936920166016,11.968936920166016,2.760329484939575
15,8.16747760772705,8.16747760772705,2.0601706504821777,11.591192245483398,11.591192245483398,2.7113447189331055
16,7.879232883453369,7.879232883453369,2.0228819847106934,11.222430229187012,11.222430229187012,2.667020797729492
17,7.630759239196777,7.630759239196777,1.9888908863067627,10.853482246398926,10.853482246398926,2.6242032051086426
18,7.358670234680176,7.358670234680176,1.9510080814361572,10.49873161315918,10.49873161315918,2.582259178161621
19,7.121467590332031,7.121467590332031,1.9169931411743164,10.15109920501709,10.15109920501709,2.540377140045166
20,6.878218173980713,6.878218173980713,1.8814843893051147,9.816186904907227,9.816186904907227,2.4992570877075195
21,6.64715051651001,6.64715051651001,1.8487396240234375,9.49405574798584,9.49405574798584,2.4589529037475586
22,6.4107255935668945,6.4107255935668945,1.8147735595703125,9.18673038482666,9.18673038482666,2.419772148132324
23,6.189108848571777,6.189108848571777,1.783294677734375,8.889159202575684,8.889159202575684,2.3811190128326416
24,5.992584228515625,5.992584228515625,1.7549546957015991,8.59848403930664,8.59848403930664,2.3426387310028076
25,5.774979591369629,5.774979591369629,1.7226154804229736,8.32254409790039,8.32254409790039,2.3082451820373535
26,5.598463535308838,5.598463535308838,1.6961524486541748,8.04626178741455,8.04626178741455,2.2771787643432617
27,5.397526741027832,5.397526741027832,1.6654605865478516,7.782989501953125,7.782989501953125,2.246987819671631
28,5.221098899841309,5.221098899841309,1.6389535665512085,7.525705337524414,7.525705337524414,2.2168965339660645
29,5.028304100036621,5.028304100036621,1.6091320514678955,7.28120756149292,7.28120756149292,2.1877264976501465
30,4.873827934265137,4.873827934265137,1.5843178033828735,7.036568641662598,7.036568641662598,2.1579504013061523
31,4.695323944091797,4.695323944091797,1.5574424266815186,6.804392337799072,6.804392337799072,2.1291184425354004
32,4.535216331481934,4.535216331481934,1.5332368612289429,6.57902717590332,6.57902717590332,2.100560188293457
33,4.386518478393555,4.386518478393555,1.5072382688522339,6.359580993652344,6.359580993652344,2.072171926498413
34,4.224509239196777,4.224509239196777,1.4831520318984985,6.150546073913574,6.150546073913574,2.044581890106201
35,4.087324142456055,4.087324142456055,1.4598538875579834,5.9438910484313965,5.9438910484313965,2.0167343616485596
36,3.9391238689422607,3.9391238689422607,1.4372466802597046,5.74641752243042,5.74641752243042,1.989562749862671
37,3.8128535747528076,3.8128535747528076,1.415061354637146,5.55023193359375,5.55023193359375,1.961973786354065
38,3.6849446296691895,3.6849446296691895,1.394531011581421,5.361988544464111,5.361988544464111,1.9349263906478882
39,3.548056125640869,3.548056125640869,1.372345209121704,5.185247421264648,5.185247421264648,1.9089845418930054
40,3.4231231212615967,3.4231231212615967,1.351525068283081,5.014303207397461,5.014303207397461,1.882699966430664
41,3.312014102935791,3.312014102935791,1.3323866128921509,4.843020439147949,4.843020439147949,1.854998230934143
42,3.194000005722046,3.194000005722046,1.3125500679016113,4.6776838302612305,4.6776838302612305,1.827679991722107
43,3.087310314178467,3.087310314178467,1.293998122215271,4.516290187835693,4.516290187835693,1.8004294633865356
44,2.981337785720825,2.981337785720825,1.2766382694244385,4.360348224639893,4.360348224639893,1.7735133171081543
45,2.879542112350464,2.879542112350464,1.2584350109100342,4.210691452026367,4.210691452026367,1.7471014261245728
46,2.7785470485687256,2.7785470485687256,1.2401031255722046,4.066867828369141,4.066867828369141,1.721150279045105
47,2.688147783279419,2.688147783279419,1.2241061925888062,3.926448345184326,3.926448345184326,1.6952381134033203
48,2.5919151306152344,2.5919151306152344,1.205793857574463,3.7922494411468506,3.7922494411468506,1.6699055433273315
49,2.503521680831909,2.503521680831909,1.1906723976135254,3.6629185676574707,3.6629185676574707,1.644927740097046
50,2.4223923683166504,2.4223923683166504,1.176135540008545,3.5388917922973633,3.5388917922973633,1.6204195022583008
51,2.3355872631073,2.3355872631073,1.159155249595642,3.4214560985565186,3.4214560985565186,1.5966780185699463
52,2.2600858211517334,2.2600858211517334,1.144249677658081,3.305928945541382,3.305928945541382,1.572777509689331
53,2.1880221366882324,2.1880221366882324,1.1329129934310913,3.1941909790039062,3.1941909790039062,1.549113154411316
54,2.118274211883545,2.118274211883545,1.1189779043197632,3.088405132293701,3.088405132293701,1.526171326637268
55,2.0513648986816406,2.0513648986816406,1.1060211658477783,2.9878149032592773,2.9878149032592773,1.5038384199142456
56,1.987510085105896,1.987510085105896,1.0931460857391357,2.8919177055358887,2.8919177055358887,1.4820433855056763
57,1.9251798391342163,1.9251798391342163,1.0809909105300903,2.800870656967163,2.800870656967163,1.4605916738510132
58,1.8653358221054077,1.8653358221054077,1.0687841176986694,2.712329626083374,2.712329626083374,1.4385879039764404
59,1.8155454397201538,1.8155454397201538,1.058929204940796,2.624282121658325,2.624282121658325,1.416229248046875
60,1.7607673406600952,1.7607673406600952,1.0475302934646606,2.5404250621795654,2.5404250621795654,1.3944621086120605
61,1.7074272632598877,1.7074272632598877,1.0363476276397705,2.460956573486328,2.460956573486328,1.3733810186386108
62,1.6609538793563843,1.6609538793563843,1.0269774198532104,2.3834242820739746,2.3834242820739746,1.352358102798462
63,1.614640474319458,1.614640474319458,1.017641305923462,2.309683322906494,2.309683322906494,1.3319193124771118
64,1.5675181150436401,1.5675181150436401,1.007356882095337,2.2395260334014893,2.2395260334014893,1.3120445013046265
65,1.5211797952651978,1.5211797952651978,0.996559739112854,2.1724581718444824,2.1724581718444824,1.2926268577575684
66,1.4816535711288452,1.4816535711288452,0.9878368377685547,2.105970621109009,2.105970621109009,1.2729443311691284
67,1.4404793977737427,1.4404793977737427,0.9790916442871094,2.0410714149475098,2.0410714149475098,1.2531501054763794
68,1.4049046039581299,1.4049046039581299,0.9708585739135742,1.9733134508132935,1.9733134508132935,1.2314467430114746
69,1.3642197847366333,1.3642197847366333,0.9614592790603638,1.9089066982269287,1.9089066982269287,1.210369348526001
70,1.325718641281128,1.325718641281128,0.9523534774780273,1.8480080366134644,1.8480080366134644,1.190012812614441
71,1.2934386730194092,1.2934386730194092,0.9455428123474121,1.7887712717056274,1.7887712717056274,1.1697824001312256
72,1.2574546337127686,1.2574546337127686,0.9361213445663452,1.7338879108428955,1.7338879108428955,1.1506413221359253
73,1.2266829013824463,1.2266829013824463,0.9285587072372437,1.6805510520935059,1.6805510520935059,1.131645679473877
74,1.1976460218429565,1.1976460218429565,0.9210830926895142,1.6289345026016235,1.6289345026016235,1.112869143486023
75,1.1663322448730469,1.1663322448730469,0.9129773378372192,1.5799808502197266,1.5799808502197266,1.0946775674819946
76,1.137529730796814,1.137529730796814,0.9050536155700684,1.5317219495773315,1.5317219495773315,1.076357364654541
77,1.1081578731536865,1.1081578731536865,0.8968036770820618,1.4846670627593994,1.4846670627593994,1.0580984354019165
78,1.0841007232666016,1.0841007232666016,0.88970947265625,1.4375531673431396,1.4375531673431396,1.0393949747085571
79,1.0526129007339478,1.0526129007339478,0.8801658749580383,1.3941197395324707,1.3941197395324707,1.021754264831543
80,1.0296062231063843,1.0296062231063843,0.8735226392745972,1.3508431911468506,1.3508431911468506,1.0057872533798218
81,1.0033438205718994,1.0033438205718994,0.8648128509521484,1.3103116750717163,1.3103116750717163,0.9929244518280029
82,0.9764559864997864,0.9764559864997864,0.8560794591903687,1.271350383758545,1.271350383758545,0.9802734851837158
83,0.9546493291854858,0.9546493291854858,0.8489925265312195,1.231942057609558,1.231942057609558,0.9671704769134521
84,0.9307446479797363,0.9307446479797363,0.840205192565918,1.1946405172348022,1.1946405172348022,0.9544627070426941
85,0.9086747169494629,0.9086747169494629,0.8320401906967163,1.1587804555892944,1.1587804555892944,0.9419447779655457
86,0.8838802576065063,0.8838802576065063,0.8228910565376282,1.1250182390213013,1.1250182390213013,0.9298685789108276
87,0.8629032373428345,0.8629032373428345,0.8148940801620483,1.0916919708251953,1.0916919708251953,0.9176510572433472
88,0.8421374559402466,0.8421374559402466,0.8069887161254883,1.0593113899230957,1.0593113899230957,0.9054749608039856
89,0.8222268223762512,0.8222268223762512,0.798816442489624,1.028318166732788,1.028318166732788,0.8935163021087646
90,0.8018031120300293,0.8018031120300293,0.7906147241592407,0.9989233016967773,0.9989233016967773,0.8818771839141846
91,0.7799476981163025,0.7799476981163025,0.7810018062591553,0.9709073305130005,0.9709073305130005,0.8704931735992432
92,0.7622247338294983,0.7622247338294983,0.7735967636108398,0.9422810673713684,0.9422810673713684,0.8574740886688232
93,0.7441929578781128,0.7441929578781128,0.7656936645507812,0.9142482280731201,0.9142482280731201,0.8441776633262634
94,0.7274792790412903,0.7274792790412903,0.7578690052032471,0.8874922394752502,0.8874922394752502,0.834967315196991
95,0.7103297710418701,0.7103297710418701,0.7491174340248108,0.8622013926506042,0.8622013926506042,0.8246643543243408
96,0.6939399242401123,0.6939399242401123,0.740861713886261,0.8381263613700867,0.8381263613700867,0.81411212682724
97,0.6791428327560425,0.6791428327560425,0.7335324883460999,0.8148869276046753,0.8148869276046753,0.8037073016166687
98,0.6633756756782532,0.6633756756782532,0.7254152297973633,0.7929260730743408,0.7929260730743408,0.7936646938323975
99,0.649783194065094,0.649783194065094,0.7186533212661743,0.7716596126556396,0.7716596126556396,0.7837316989898682
